video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
MkKpZzkihI0,今年も赤白帽子がお似合いなねこ。-That red cap suits Maru very well this year too.-,"今年も赤白帽子が良くお似合いなまるさん。もちろん、はなみりも！ That red cap suits Maru very well this year too. Of course, it suited Hana&Miri very well too!  メンバーシップに登録すると限定動画を見ることができます！: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-08-30T12:00:43Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT8M33S,72044,4911,308
KIvz6wAmLB4,間違えて後ろ向きにゾウに乗っちゃったまるさん。 #Shorts,間違えて後ろ向きにゾウに乗っちゃったまるさん。Maru got on the elephant backwards by mistake.  メンバーシップに登録すると限定動画を見ることができます↓： https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-08-28T05:22:48Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT57S,67035,5861,178
6Q6y85olHYg,不審猫。-Suspicious Cat.- #Shorts,"不審な猫。（もちろん、まるさん！）Suspicious Cat. (Of course, it's Maru!)  メンバーシップに登録すると、限定動画を見ることができます！↓: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-08-23T05:50:01Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT57S,65721,6063,200
PlPvgd8bWtY,新しいソファで遊んで寝るねこ。-Maru plays and naps on the new sofa.-,新しいソファで遊んでお昼寝するまるさん。Maru plays and naps on the new sofa.  メンバーシップに登録すると限定動画を見ることができます↓： https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-08-22T12:00:46Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT6M8S,67827,4177,195
Bmgfnb0Sxww,雷感知能力が高すぎるみり。-Miri has extremely high thunder sensitivity.-,"雷感知能力が高すぎて2時間も前からソワソワし始めるみりと、平常運転なまるさんとはな。 Miri has such a high level of thunder detection that she started getting nervous two hours in advance, and Maru&Hana are completely as usual.  メンバーシップに登録すると限定動画を見ることができます: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-08-18T12:00:20Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M53S,66774,5360,306
f1H_eaSaiM8,何ていう生き物？ #Shorts,これは何ていう生き物ですか？ What creature is this?  メンバーシップに登録すると限定動画を見ることができます！↓ https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-08-13T05:42:10Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT20S,90404,5393,204
lTsYFUklBaE,"暑過ぎて浴槽が住処になったねこ。-It's been hot lately, so Maru spends time in the bathtub.-",早く庭に行きたくて鳴いているみりと、日向ぼっこは好きだけどさすがに暑過ぎるから行きたくないはなと、暑過ぎて浴槽に入り浸るまるさん。 Miri's meowing because she wants to go to the garden. Hana loves to sunbathe but doesn't want to go because it's too hot. It's too hot so Maru's spending time in the bathtub.  メンバーシップに登録すると限定動画を見ることができます↓: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-08-12T12:01:35Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M54S,53893,3715,194
Z6qR7tzaVTY,猫に回されるねこ。 #Shorts,透明ボウルに入っていたら、はなに回されちゃったまるさん。 Maru was turned by Hana when he was in the transparent bowl.  メンバーシップに登録すると限定動画を見ることができます！ https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-08-09T04:55:49Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT1M1S,42528,3570,101
FVMokqaFCxA,新しいソファで寛ぐねこ。-Maru relaxes on the new sofa.-,"まるさんがお昼寝を始めた頃に届いた新しいソファ。さっそく新しいソファでお昼寝するまるさんと、念入りにチェックするはなとみり。 The new sofa arrived just as Maru started taking naps. Maru immediately took a nap on the new sofa, while Hana& Miri carefully checked it over.  メンバーシップに登録すると、限定動画を見ることができます↓ https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-08-07T12:00:22Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT10M6S,61754,3860,210
eMCBDCOIZ9c,マスクの箱を被って行くことにしたねこ。-Maru decided to walk with the face mask box on his head.-,"マスク箱で遊んでいるみりと、被って行くことにしたまるさん。そしてまるさんがマスク箱に入ると、イリュージョン体型になってしまう。 Miri plays with the face mask box, and Maru decided to walk with it on his head. And when Maru gets into the mask box, he becomes an illusion shape.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-08-02T12:01:10Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M33S,41233,3222,144
D4SFLSsFCzc,手押し車があったら押して来ちゃうねこ。 #Shorts,"手押し車があったら押して来ちゃうまるさん。 If there is a push cart, Maru pushes it.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-07-29T05:12:57Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT52S,73590,5490,171
SfZSJHybkBs,知らない間に揺れる透明ボウルに替わっても気にしないねこ。Maru doesn't minde if replaced with a wobbly bowl without his knowledge.,"いつもの透明ボウルが、知らない間に揺れる透明ボウルに替わっても気にしないまるさん。適応力に優れています！ Maru doesn't minde if replaced with a wobbly bowl without his knowledge. Maru is very adaptable!  ★メンバーシップに登録していただくと、限定動画を見ることができます↓ If you sign up for membership, you can watch exclusive videos! https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-07-28T12:00:47Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M14S,67495,3696,190
ez49jQZO0yA,抱っこでノイバラを見に来たらイヤイヤしちゃったねこ。-Maru came to see the Multiflora Rose by holding in my arms.-,"この日のまるさんは、お散歩で色々な物をチェックして回っていました。 On this day, Maru was checking out various things on his walk.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-07-22T12:01:23Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT8M20S,69815,4691,203
Zw-l2fYsrtI,さすがにきっつきつだったねこ。 #Shorts,"透明な箱に入ってはみたものの、さすがにちょっときっつきつだったまるさん。 Maru went into the transparent box, but it was too tight.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-07-19T05:05:15Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT48S,78979,8063,244
N9MDzaERsag,透明ボウルに入っていたら回されちゃったねこ。-Maru was turned when he was in the transparent bowl.-,"透明容器に入ってるまるさんは、回されがち。 When Maru is in a transparent container, he is often turned.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-07-15T12:00:44Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M5S,45699,3069,116
AhVb8uE6z3Y,膨らみ過ぎて溢れた猫型パウンドケーキ。 #Shorts,"膨らみ過ぎて溢れたけど最上級に可愛く出来上がった猫型パウンドケーキです。 The cat-shaped pound cake overinflated and overflowed, but it turned out to be the cutest.   このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-07-11T03:55:21Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT1M1S,33306,2649,92
qJDWTE-xeV0,たくさん遊んでお昼寝するねこ。-Cats play a lot and take a nap.-,それぞれお気に入りの遊びでたくさん遊んで、お昼寝するまるさんたち。 Maru&Hana&Miri each play in their favorite way and then take a nap.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-07-09T12:01:37Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT6M7S,44245,2742,118
5X4x0S5JiaA,雨の日にカッパを着てお散歩するねこ５。-Maru takes a walk in a raincoat 5.-,雨の日にカッパを着てお散歩を満喫するまるさん。 Maru wears a raincoat on rainy days and enjoys a walk.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-07-05T12:00:09Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT10M42S,114792,3958,157
H1GUIwYQMKc,ひとりだけ静止画な液体猫。 #Shorts,液体をやってるときはほとんど動かないまるさん。Liquid Maru barely moves.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-07-02T05:11:06Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT1M1S,30775,2634,89
21ZMeoL3hDM,緑のお庭でのんびり過ごすねこ。-Cats relax and enjoy the green garden.-,緑のお庭でのんびり過ごした後、肉まんを水に浸しながら飲むという可愛い姿を披露しちゃったまるさんです。 Maru spent some time lounging in the green garden and then drank some water while soaking his meat bun. It was so cute!  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-07-01T12:00:07Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT6M7S,43571,2813,129
awrtYNwLu6E,透明な箱とねこ。 #Shorts,小さな透明の箱にみっちり詰まるまるさん。 Maru is in the small transparent box.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-06-27T07:10:55Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT45S,49673,5045,162
ojkpsNl5l8I,お風呂で遊んでお水を飲むねこ。-Maru plays in the bathtub and hydrates.-,"最近、お風呂場がまたブームなまるさん。寛いだり遊んだりお水を飲んだり、元気に過ごしています！ Maru loves in the bathtub again these days. He relaxes in the bathroom, plays, drinks water, and stays healthy!  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-06-25T12:01:35Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT7M53S,61466,3488,151
tCGKmMvMIFw,手押し車でやって来るねこ。 #Shorts,手押し車でやって来るまるさん。Maru comes with the push cart.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-06-21T07:21:08Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT32S,97015,8362,269
p08EyKg3sz0,膨らみ過ぎたパウンドケーキなねこ。-The cat shaped pound cake rose too much.-,膨らみ過ぎて溢れた猫型パウンドケーキ。The cat-shaped pound cake rose too much and overflowed.  メンバー限定動画↓　Member-only video↓: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-06-19T12:01:32Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M40S,53109,3519,208
O0X5_4s80F8,これなーんだ？ #Shorts,カップケーキ？　Cupcake?  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-06-18T04:49:22Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT52S,36536,3349,115
Oj5eDQJYbMI,実は全身超スリムなねこ。 #Shorts,"ぽっちゃりさんと見せかけて、実は全身超スリムなまるさん。 Maru pretends to be chubby, but is actually super slim all over.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #ビジネスぽっちゃり #まる #cats",2025-06-14T06:41:47Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#ビジネスぽっちゃり|#まる|#cats,PT30S,50462,4212,138
fmEQ3ZCyFs4,お気に入りの透明ボウルでちんまりしてるねこ。-Maru fits compactly into his favorite transparent bowl.,"最近のまるさんは、透明ボウルがかなりのお気に入り。気がつくと入って、ちんまりと寛いでいます。These days, Maru's quite fond of the transparent bowl. Maru fits compactly into it. Maru fits compactly inside and relaxes.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-06-12T12:01:18Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M15S,50287,3093,140
8V4JVmBd4jM,もちろん入ってるまるさん。 #Shorts,"むっちりまるさん。もちろん入ってる。 Chubby Maru. Of course, Maru is in the beer box.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-06-08T06:07:21Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT34S,107568,9112,264
aOaCYNByOvo,実は綿棒体型であることが判明したねこ。-Maru actually has a cotton swab body shape.-,猫は液体でもあり、変幻自在に形を変えられるスライムでもある。 Cats are both liquids and shape-shifting slime.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-06-06T12:00:01Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M44S,40828,3265,161
d5yuPd62y5A,超スリムな箱に入れちゃう大きなねこ。 #Shorts,超スリムな箱に入れちゃう、一番大きなまるさん。Only the biggest Maru can fit in the very slim box.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-06-02T05:59:17Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT58S,80450,7318,302
vqrfPWzI6vc,数年来の涙やけがキレイになって顔が若返ったねこ。-Maru’s tear stain became clean and his face rejuvenated.-,18才にしてアンチエイジングに成功したまるさん！？ Maru's rejuvenated at 18!?  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-05-31T12:01:47Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M28S,73865,4766,245
PiIHFpJuccM,まるさん１８才のお誕生日会。-Maru’s 18th Birthday Party.-,まるさん18才のお誕生日会を開きました！主役にして盛り上げ役のまるさんです。 We had a party for Maru's 18th birthday! Maru is the main character and also life of this party.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-05-27T12:00:53Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT7M39S,97974,8303,735
jgeZFivUeGg,まるです１８。-I am Maru 18.-,まるさん18才のお誕生日記念動画！2024年のまるさんです。 Video commemorating Maru's 18th birthday!  This is Maru in 2024. 　 このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-05-24T12:01:26Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT11M33S,177200,13393,1514
XDUFtK8UXK4,この春はタンポポがお気に入りなねこ。-Maru likes dandelions this spring.-,タンポポがお気に入りなまるさん。Maru likes dandelions.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-05-21T12:00:56Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M38S,41364,3344,143
fIBdff3iIcs,うどん作りは絶対に見ていてほしいねこ。-Maru definitely wants me to watch him when he's making udon.-,お魚のおもちゃで遊ぶはな＆みりと、枕にしちゃうまるさん。そしてうどん作りは絶対に見ていてほしいまるさん！ Hana&Miri play with the fish toy and he uses it as a pillow. And Maru definitely wants me to watch him when he's making udon!  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-05-16T12:01:15Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT6M7S,40745,2788,110
vcsUOrNFAKw,最後の1滴まで美しく液体になるねこ。 #Shorts,最後の1滴まで美しく液体になるまるさん。Maru becomes beautifully liquid until the last drop.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫は液体 #まる #cats,2025-05-12T06:21:32Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫は液体|#まる|#cats,PT49S,50481,4204,118
EGECs71ltq4,知育トイチャレンジなねこ。-Educational Toy Challenge and Cats.-,"知育トイにチャレンジするまる・はな・みり。経験値が高いまるさんには、ノーレクチャーで参加してもらいました！ Maru&Hana&Miri challenged themselves with the Educational Toy. Maru had a lot of experience, so he tried without a guide.   このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-05-10T12:00:32Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT10M18S,60725,3605,218
3SbSqy5oVxo,入った穴から出られないねこ！？。 #Shorts,入った穴から出られないまるさん！？　Maru cannot get out of the hole he entered through!?  ★まるさん初のエッセイ本が発売になりました！ 　Maru's  first essay book is released! (Japanese only) ★楽天： https://books.rakuten.co.jp/rb/18146374/?msockid=1b8dbfce97f2697f14fcae1c9618688a ★Amazon: https://amzn.asia/d/fHGKhVb ★双葉社：https://www.futabasha.co.jp/book/97845753196680000000?type=1 #猫 #まる #cats,2025-05-07T04:32:41Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT1M4S,57853,3723,129
nofEL-QNIB4,春のサラダバーを満喫するねこ。-Cats enjoy the spring salad bar.-,天然のサラダバーがオープンしました！　のんびり春のサラダバーを楽しむまるさんとはなとみり。　The natural salad bar has opened! Maru&Hana&Miri leisurely enjoy the spring salad bar.  ★まるさん初のエッセイ本が発売になりました！ 　Maru's  first essay book is released! (Japanese only) ★楽天： https://books.rakuten.co.jp/rb/18146374/?msockid=1b8dbfce97f2697f14fcae1c9618688a ★Amazon: https://amzn.asia/d/fHGKhVb ★双葉社：https://www.futabasha.co.jp/book/97845753196680000000?type=1 #猫 #まる #cats,2025-05-05T12:01:32Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT6M14S,64067,3473,178
ErlKk6ynBbo,蒸しタオルで美しさを保つねこ。 #Shorts,蒸しタオルで美しさを保つまるさん。Maru keeps his beauty in a steamed towel.  ★まるさん初のエッセイ本が発売になりました！ 　Maru's  first essay book is released! (Japanese only) ★楽天： https://books.rakuten.co.jp/rb/18146374/?msockid=1b8dbfce97f2697f14fcae1c9618688a ★Amazon: https://amzn.asia/d/fHGKhVb ★双葉社：https://www.futabasha.co.jp/book/97845753196680000000?type=1 #猫 #まる #cats,2025-05-03T05:29:48Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT49S,92815,6413,171
