channel_id,channel_title,channel_description,published_at,subscriber_count,view_count,video_count,uploads_playlist_id,total_videos_scraped,avg_views,avg_likes,avg_comments,total_views_scraped_videos,total_likes_scraped_videos
UC4Eqt3jI2inoD4TIcvuctYQ,Feeding Street Cats,"The reason behind creating this channel is to reach more feral cats and raise awareness. Can't you see that they are homeless, starving, and freezing from the cold.  They are our friends. Let's keep them alive!  Watching my videos to the end, hitting the like and subscribe button helps cats eat. Thank you. ",2020-02-25T12:28:26.939223Z,1580000,237969065,1731,UU4Eqt3jI2inoD4TIcvuctYQ,50,74686.24,3393.36,189.24,3734312,169668
UCfVwRiihN37PIcmtlLihj6w,Tasty Paws,"Welcome to Tasty Paws – Your Spot for Funny Cats, Dogs, and Paw-some Moments! 🐾✨  Looking for funny cats, silly dogs, and adorable pet moments? You’re in the right place! Tasty Paws is packed with hilarious cat fails, heartwarming dog moments, and mischievous pets guaranteed to make you laugh out loud. From playful pups to quirky cats, we bring you the cutest and funniest animal content. 😻🐶  🎥 What we share:  ✨Funny cat and dog antics. ✨Heartwarming and silly pet moments. ✨Entertaining pet challenges and pure joy-filled clips. At Tasty Paws, we celebrate the fun and love pets bring into our lives. Whether you’re a cat lover, dog enthusiast, or just love adorable animals, our videos will brighten your day.  👉 Subscribe: https://bit.ly/tastypaws 👉 Follow us on TikTok: https://bit.ly/fluffyfurkidtk 📧 Business inquiries: love@fluffytempo.com  Join Tasty Paws for laughs, love, and all things furry! 🐾💕  ",2024-09-26T02:59:29.828407Z,302000,71410908,390,UUfVwRiihN37PIcmtlLihj6w,50,26023.04,332.66,4.38,1301152,16633
UC-xSWdtNE9tSp9SyfPaNHkQ,cat.mp4,,2024-06-22T15:12:11.97072Z,71400,26559625,58,UU-xSWdtNE9tSp9SyfPaNHkQ,50,359918.04,5932.4,189.2,17995902,296620
UCuPLku1Zrk6HMr2S51yGkpQ,Little Love ,"🐱 Welcome to Little Love! At Little Love, we celebrate cats by capturing their funniest antics, sweetest cuddles, and most charming moments.  Whether you're here for a quick laugh, heartwarming moments, or to understand more about your furry friends, you've come to the right place.  Subscribe to become part of our joyful cat-loving community, and enjoy daily videos filled with whiskers, purrs, and endless feline fun! 🐾✨",2016-09-01T13:26:23Z,856000,232736024,753,UUuPLku1Zrk6HMr2S51yGkpQ,50,126751.28,1481.92,42.8,6337564,74096
UCMkRHqr6MjsJ7VEhXJnSRcg,Pawsome Cats of the Internet,"SUBSCRIBE IF YOU LOVE CATS /(⚆ᗝ⚆)/  📢Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statutes that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use. ",2023-12-07T17:59:51.287792Z,15500,13861174,77,UUMkRHqr6MjsJ7VEhXJnSRcg,50,162038.62,7377.3,64.2,8101931,368865
UCAUqPgpcjPk_JVv8aPYL-rw,Purrfect Pets,"Welcome to Purrfect Pets! 💕  The perfect place for the cutest, funniest, and most lovable pet moments  Subscribe now and enjoy the pawsome world of pets! 🐶🐱 --- #funnycats  #funnydogs  #funnyanimals  #funnyvideos #cutecats #cuteanimals #cutedogs #catvideos #dogvideos #animals #cats #dogs #pets #funny #cute ",2024-04-29T09:39:32.828142Z,81300,20667442,50,UUAUqPgpcjPk_JVv8aPYL-rw,50,414380.18,1647.58,69.76,20719009,82379
UCU0nAvDjqfXo1fTA7xn527w,CaD Animals,,2024-12-12T16:51:42.519169Z,27900,20883020,54,UUU0nAvDjqfXo1fTA7xn527w,50,405792.84,3011.74,141.9,20289642,150587
UCfm5SLKZDJqVluh-oo6q9Cw,Dexter The Cat,Named after a serial killer 🐱 📩 dextercronch@gmail.com,2023-08-10T22:20:50.745917Z,159000,131678507,203,UUfm5SLKZDJqVluh-oo6q9Cw,50,472285.74,15370.28,77.88,23614287,768514
UCezWXy_EVsFpQWQ6yk6a4FQ,Renus Delph,Nanaki 🍊 Tuna 🐟 JoJo 😾 Tetra 🏴‍☠️  ,2024-03-13T18:50:40.451729Z,518000,171563548,370,UUezWXy_EVsFpQWQ6yk6a4FQ,50,298374.5,26548.78,513.5,14918725,1327439
UCW_X3-IRNdOl9vrZ-zGthlQ,Funny And Cute Cat's Life,"Looking for your daily dose of silly cat antics? Funny and Cute Cat's Life is a place that explores those everyday moments that make cats so special. From fearless stunts to epic fails, our channel celebrates cats being dramatic, goofy, and completely themselves. No judgment, just pure, adorable chaos! 😺 🐾 So what are you waiting for? Jump into our cat lover community now and share your funniest, silliest cats moments with us!",2018-08-08T15:20:23Z,194000,54318925,461,UUW_X3-IRNdOl9vrZ-zGthlQ,50,138601.64,1793.1,41.3,6930082,89655
UCmCOoX7E0hybWf1h7UJ4mrg,Maine Coon Kittens,"Here you will see all kinds of videos about my Maine Coon kittens. Follow them as they grow up and learn everything they need to become real cats!  My name is Albin and I live here in Sweden with my five Maine Coon cats: Buster, Luna, Freya, Dexter and Ada. Buster is my first Maine Coon and he is five years old.  I'm a small scale breeder of Maine Coon cats and I have about two litters per year. Freya had the latest litter in June 2025 and all seven of them have now moved to their new homes!  Take a look at my other channel for more Maine Coon videos, especially about Uncle Buster and all his fun adventures! https://www.youtube.com/@Maine_Coon_Adventures  Email: adventureswithmainecoons@gmail.com ",2022-08-13T13:09:51.180701Z,147000,73158784,435,UUmCOoX7E0hybWf1h7UJ4mrg,50,109141.66,3168.38,366.52,5457083,158419
UChKwZfRAjbfuWXo1NhKqHgQ,Walter the Catt,"It's your favorite soul-staring, Dorito shaped floof wizard! Walthazarbobalthazarfeefiefofalthazar III is pleased you are here!  (sometimes featuring his big brother Gus)  *this is our only channel* ",2011-12-20T23:49:28Z,704000,325062818,347,UUhKwZfRAjbfuWXo1NhKqHgQ,50,482568.8,27351.24,509.62,24128440,1367562
UC6VzUf8LyXxOz2ZkQP8_uhw,CAT MAN CHRIS,"Hi, my name's Chris Poole and I'm a crazy cat guy! (and proud of it) … I'm also owned by internet kitties Cole & Marmalade. This channel will be full of clips of the dynamic duo, along with so much more, like vlogs, cat rescue, BIG cat videos, animal welfare vids and reviews.  I hope you enjoy the videos and as always thanks fur watching :)  Contact me: coleandmarmalade@gmail.com",2015-08-01T20:34:16Z,938000,274067260,154,UU6VzUf8LyXxOz2ZkQP8_uhw,50,180943.84,10927.16,390.92,9047192,546358
UCZTM8ZG29egxUmYJ_pL-iZQ,TakeYourDoseOfCats,"🐾 Come and Take Your Dose of Cats!  Welcome to the channel where cats reign supreme 🐱💫 Whether it’s epic zoomies, fluffy loafs, or sneaky mischief, this is the place for funny cats, cute kittens, and everything in between.  📩 Contact: For inquiries, partnerships, or concerns → contactyubha@gmail.com  🎥 Credits & Respect: Every clip featured is edited with care and shared with the creator’s permission (or properly licensed). If you’re a content owner and want your video removed, just email us, we’ll take care of it, no claws out.  ⚖️ Copyright Note: Content may fall under fair use (Section 107, Copyright Act 1976) for purposes such as commentary, education, or entertainment. Our mission is simple: celebrate cats while respecting their humans.  😻 So if you need a daily dose of cuteness… you’re in the right place. Take your dose of cats today! ",2025-02-02T02:09:36.413883Z,237000,143080975,183,UUZTM8ZG29egxUmYJ_pL-iZQ,50,193991.38,12274.8,99.92,9699569,613740
UCgpxaYSBRT6Ocb0wAw9S2OQ,funcatflicks,LTEC@WV2GV6,2024-11-19T07:45:17.740245Z,28500,25288964,326,UUgpxaYSBRT6Ocb0wAw9S2OQ,50,149897.36,5764.58,78.72,7494868,288229
UCzdQGuxoc-B9WrWQnMF4vmA,FunnyPaws,Funny animals and hilarious moments to lift your spirits!🐶😺,2024-06-09T18:29:35.218826Z,173000,48519956,150,UUzdQGuxoc-B9WrWQnMF4vmA,50,44027.44,1765.74,12.14,2201372,88287
UCmSu6aPS3LKmf-5MrTr3TRg,Meowphorius ,"💕😻 Your daily dose of kitten videos! 😻💕 We share the tiniest, funniest, quirkiest, clumsiest, and most adorable kittens being their hilarious selves. From their first wobbly steps to epic nap fails, our videos capture the cutest cat moments from around the globe. 🐱🌍  This is your go-to place for laughter, cuteness, and a guaranteed smile every day. 💖  👉 Subscribe for a Meow so you never miss a purr! 🐾",2024-09-05T05:27:41.335961Z,759000,562050369,245,UUmSu6aPS3LKmf-5MrTr3TRg,50,2823578.74,22667.52,137.56,141178937,1133376
UCxZKZ-T6Res7lrwDP9i9iUA,el Cato,😹,2012-07-19T19:10:03Z,46600,24458105,96,UUxZKZ-T6Res7lrwDP9i9iUA,50,20832,170.96,8.88,1041600,8548
